time_sec,beantemp,gascontrol
0,221.7,0.0
1,224.0,0.0
2,222.9,0.0
3,219.3,0.0
4,214.2,0.0
5,207.0,0.0
6,198.8,0.0
7,190.3,0.0
8,181.4,0.0
9,172.7,0.0
10,164.5,0.0
11,156.8,0.0
12,149.3,0.0
13,142.3,0.0
14,135.7,0.0
15,129.5,0.0
16,123.8,0.0
17,118.5,0.0
18,113.4,0.0
19,108.8,0.0
20,104.4,0.0
21,100.3,0.0
22,96.5,0.0
23,93.0,100.0
24,90.0,100.0
25,87.0,100.0
26,84.3,100.0
27,81.8,100.0
28,79.5,100.0
29,77.4,100.0
30,75.4,100.0
31,73.6,100.0
32,72.0,100.0
33,70.5,100.0
34,69.2,100.0
35,67.9,100.0
36,66.8,100.0
37,65.7,100.0
38,64.7,100.0
39,64.0,100.0
40,63.2,100.0
41,62.6,100.0
42,62.0,100.0
43,61.5,100.0
44,61.1,100.0
45,60.8,100.0
46,60.5,100.0
47,60.2,100.0
48,60.0,100.0
49,59.9,100.0
50,59.8,100.0
51,59.7,100.0
52,59.7,100.0
53,59.7,100.0
54,59.8,100.0
55,59.8,100.0
56,59.9,100.0
57,60.0,100.0
58,60.1,100.0
59,60.3,100.0
60,60.4,100.0
61,60.6,100.0
62,60.8,100.0
63,61.0,100.0
64,61.2,100.0
65,61.5,100.0
66,61.8,100.0
67,62.0,100.0
68,62.3,100.0
69,62.6,100.0
70,62.9,100.0
71,63.2,100.0
72,63.5,100.0
73,63.8,100.0
74,64.1,100.0
75,64.4,100.0
76,64.8,100.0
77,65.1,100.0
78,65.5,100.0
79,65.9,100.0
80,66.2,100.0
81,66.5,100.0
82,66.9,100.0
83,67.3,100.0
84,67.7,100.0
85,68.0,100.0
86,68.4,100.0
87,68.8,100.0
88,69.1,100.0
89,69.5,100.0
90,69.8,100.0
91,70.3,100.0
92,70.6,100.0
93,71.0,100.0
94,71.4,100.0
95,71.8,100.0
96,72.2,100.0
97,72.6,100.0
98,72.9,100.0
99,73.3,100.0
100,73.6,100.0
101,74.1,100.0
102,74.5,100.0
103,74.8,100.0
104,75.2,100.0
105,75.6,100.0
106,76.0,100.0
107,76.4,100.0
108,76.7,100.0
109,77.1,100.0
110,77.5,100.0
111,77.9,100.0
112,78.3,100.0
113,78.7,100.0
114,79.0,100.0
115,79.4,100.0
116,79.8,100.0
117,80.2,100.0
118,80.5,100.0
119,80.9,100.0
120,81.3,100.0
121,81.7,100.0
122,82.1,100.0
123,82.4,100.0
124,82.7,100.0
125,83.1,100.0
126,83.5,100.0
127,83.8,100.0
128,84.2,100.0
129,84.5,100.0
130,84.9,100.0
131,85.2,100.0
132,85.6,100.0
133,86.0,100.0
134,86.3,100.0
135,86.7,100.0
136,87.0,100.0
137,87.4,100.0
138,87.7,100.0
139,88.0,100.0
140,88.4,100.0
141,88.7,100.0
142,89.1,100.0
143,89.4,100.0
144,89.8,100.0
145,90.1,100.0
146,90.4,100.0
147,90.7,100.0
148,91.0,100.0
149,91.3,100.0
150,91.6,100.0
151,91.9,100.0
152,92.2,100.0
153,92.5,100.0
154,92.9,100.0
155,93.2,100.0
156,93.6,100.0
157,93.9,100.0
158,94.3,100.0
159,94.6,100.0
160,94.9,100.0
161,95.3,100.0
162,95.6,100.0
163,95.9,100.0
164,96.2,100.0
165,96.5,100.0
166,96.8,100.0
167,97.2,100.0
168,97.5,100.0
169,97.8,100.0
170,98.1,100.0
171,98.4,100.0
172,98.7,100.0
173,99.0,100.0
174,99.3,100.0
